Date,Close,Open,High,Low,Adj Close,Volume
1990/11/27,1434.369995,1434.369995,1434.369995,1434.369995,1434.369995,0
1990/11/28,1425.670044,1425.670044,1425.670044,1425.670044,1425.670044,0
1990/11/29,1424.410034,1424.410034,1424.410034,1424.410034,1424.410034,0
1990/11/30,1436.569946,1436.569946,1436.569946,1436.569946,1436.569946,0
1990/12/3,1466.400024,1466.400024,1466.400024,1466.400024,1466.400024,0
1990/12/4,1442.699951,1442.699951,1442.699951,1442.699951,1442.699951,0
1990/12/5,1459.900024,1459.900024,1459.900024,1459.900024,1459.900024,0
1990/12/6,1493.060059,1493.060059,1493.060059,1493.060059,1493.060059,0
1990/12/7,1510.97998,1510.97998,1510.97998,1510.97998,1510.97998,0
1990/12/10,1514.599976,1514.599976,1514.599976,1514.599976,1514.599976,0
1990/12/11,1487.680054,1487.680054,1487.680054,1487.680054,1487.680054,0
1990/12/12,1518.579956,1518.579956,1518.579956,1518.579956,1518.579956,0
1990/12/13,1527.359985,1527.359985,1527.359985,1527.359985,1527.359985,0
1990/12/14,1513.25,1513.25,1513.25,1513.25,1513.25,0
1990/12/17,1491.130005,1491.130005,1491.130005,1491.130005,1491.130005,0
1990/12/18,1480.319946,1480.319946,1480.319946,1480.319946,1480.319946,0
1990/12/19,1460.97998,1460.97998,1460.97998,1460.97998,1460.97998,0
1990/12/20,1417.959961,1417.959961,1417.959961,1417.959961,1417.959961,0
1990/12/21,1421.22998,1421.22998,1421.22998,1421.22998,1421.22998,0
1990/12/24,null,null,null,null,null,null
1990/12/25,null,null,null,null,null,null
1990/12/26,null,null,null,null,null,null
1990/12/27,1413.319946,1413.319946,1413.319946,1413.319946,1413.319946,0
1990/12/28,1389.349976,1389.349976,1389.349976,1389.349976,1389.349976,0
1990/12/31,null,null,null,null,null,null
1991/1/1,null,null,null,null,null,null
1991/1/2,1359.430054,1359.430054,1359.430054,1359.430054,1359.430054,0
1991/1/3,1370.060059,1370.060059,1370.060059,1370.060059,1370.060059,0
1991/1/4,1390.079956,1390.079956,1390.079956,1390.079956,1390.079956,0
1991/1/7,1356.47998,1356.47998,1356.47998,1356.47998,1356.47998,0
1991/1/8,1351.209961,1351.209961,1351.209961,1351.209961,1351.209961,0
1991/1/9,1367.719971,1367.719971,1367.719971,1367.719971,1367.719971,0
1991/1/10,1376.76001,1376.76001,1376.76001,1376.76001,1376.76001,0
1991/1/11,1377.48999,1377.48999,1377.48999,1377.48999,1377.48999,0
1991/1/14,1345.26001,1345.26001,1345.26001,1345.26001,1345.26001,0
